300MHz Spectrometer, CHL-D
Frequency (Hz),Intensity
4189.42782413,-441.8
4189.13550528,-156.9
4188.84318643,-358.8
4188.55086758,-269.9
4188.25854874,-500.5
4187.96622989,-594.0
4187.67391104,-422.0
4187.38159219,-260.0
4187.08927334,-247.9
4186.7969545,-598.4
4186.50463565,-143.0
4186.2123168,-94.3
4185.91999795,-203.6
4185.6276791,-93.5
4185.33536026,-356.8
4185.04304141,-249.6
4184.75072256,-270.0
4184.45840371,-82.1
4184.16608486,-137.0
4183.87376602,-228.3
4183.58144717,-312.9
4183.28912832,-76.8
4182.99680947,-233.6
4182.70449062,-100.9
4182.41217178,-218.9
4182.11985293,-182.0
4181.82753408,-186.9
4181.53521523,41.3
4181.24289638,76.6
4180.95057754,-18.4
4180.65825869,7.3
4180.36593984,-143.3
4180.07362099,-411.6
4179.78130214,-477.4
4179.4889833,-415.8
4179.19666445,-440.9
4178.9043456,-391.0
4178.61202675,-467.1
4178.3197079,-637.3
4178.02738906,-462.0
4177.73507021,-493.6
4177.44275136,-403.6
4177.15043251,-195.9
4176.85811366,-308.1
4176.56579482,-180.0
4176.27347597,-137.1
4175.98115712,-273.4
4175.68883827,-534.5
4175.39651942,-218.8
4175.10420058,-275.5
4174.81188173,-289.0
4174.51956288,-265.0
4174.22724403,-223.1
4173.93492518,-363.0
4173.64260634,-166.3
4173.35028749,66.5
4173.05796864,-87.5
4172.76564979,-201.5
4172.47333094,-389.0
4172.1810121,-773.3
4171.88869325,-482.6
4171.5963744,-243.4
4171.30405555,-395.6
4171.0117367,-237.3
4170.71941786,-380.4
4170.42709901,-385.5
4170.13478016,-522.5
4169.84246131,-399.8
4169.55014246,-224.4
4169.25782362,-29.5
4168.96550477,-68.0
4168.67318592,-551.1
4168.38086707,-490.5
4168.08854822,-510.8
4167.79622938,-255.4
4167.50391053,-348.3
4167.21159168,-316.8
4166.91927283,-376.1
4166.62695398,-391.5
4166.33463514,-371.8
4166.04231629,-249.1
4165.74999744,-313.5
4165.45767859,-216.4
4165.16535974,-182.5
4164.8730409,-122.3
4164.58072205,-288.4
4164.2884032,-439.0
4163.99608435,-351.1
4163.7037655,-226.0
4163.41144666,-713.0
4163.11912781,-924.0
4162.82680896,-564.5
4162.53449011,-142.1
4162.24217126,-384.3
4161.94985242,-486.6
4161.65753357,-464.8
4161.36521472,-387.8
4161.07289587,-483.4
4160.78057702,-465.4
4160.48825818,-471.3
4160.19593933,-344.8
4159.90362048,-191.5
4159.61130163,-459.8
4159.31898278,-544.9
4159.02666394,-478.8
4158.73434509,-675.0
4158.44202624,-354.9
4158.14970739,92.9
4157.85738854,-245.0
4157.5650697,-439.9
4157.27275085,-356.5
4156.980432,-139.5
4156.68811315,-429.0
4156.3957943,-289.1
4156.10347546,-42.8
4155.81115661,-144.5
4155.51883776,-92.4
4155.22651891,-334.8
4154.93420006,-313.5
4154.64188122,-399.6
4154.34956237,-311.6
4154.05724352,-361.5
4153.76492467,-240.6
4153.47260582,-355.1
4153.18028698,-391.1
4152.88796813,-337.5
4152.59564928,-403.8
4152.30333043,-498.9
4152.01101158,-59.9
4151.71869274,63.0
4151.42637389,-459.4
4151.13405504,-344.4
4150.84173619,-306.6
4150.54941734,-345.8
4150.2570985,-143.8
4149.96477965,60.9
4149.6724608,-94.8
4149.38014195,2.4
4149.0878231,-377.0
4148.79550426,-625.5
4148.50318541,-502.0
4148.21086656,23.1
4147.91854771,-232.5
4147.62622886,2.6
4147.33391002,-217.0
4147.04159117,-312.9
4146.74927232,-430.5
4146.45695347,-422.0
4146.16463462,-213.1
4145.87231578,-47.6
4145.57999693,169.5
4145.28767808,-14.9
4144.99535923,-77.1
4144.70304038,-218.3
4144.41072154,-180.1
4144.11840269,-221.4
4143.82608384,118.1
4143.53376499,97.1
4143.24144614,-87.6
4142.9491273,-266.0
4142.65680845,-199.6
4142.3644896,-268.5
4142.07217075,-124.0
4141.7798519,-268.5
4141.48753306,-403.3
4141.19521421,-405.0
4140.90289536,-285.3
4140.61057651,-624.0
4140.31825766,-619.0
4140.02593882,-235.5
4139.73361997,-274.1
4139.44130112,-145.5
4139.14898227,-205.0
4138.85666342,-44.3
4138.56434458,-127.5
4138.27202573,-544.6
4137.97970688,-534.1
4137.68738803,-530.1
4137.39506918,-551.8
4137.10275034,-520.8
4136.81043149,-603.3
4136.51811264,-192.5
4136.22579379,-449.1
4135.93347494,-279.1
4135.6411561,-59.6
4135.34883725,75.1
4135.0565184,-222.3
4134.76419955,-245.5
4134.4718807,-293.5
4134.17956186,-404.0
4133.88724301,-576.0
4133.59492416,-638.6
4133.30260531,-424.9
4133.01028646,-195.4
4132.71796762,-230.4
4132.42564877,-228.8
4132.13332992,-287.4
4131.84101107,-596.1
4131.54869222,-482.3
4131.25637338,-561.6
4130.96405453,-433.5
4130.67173568,-533.4
4130.37941683,-134.0
4130.08709798,-250.8
